期货代码,期货名称,secid,归属交易所
rb2307,螺纹钢2307,113.rb2307,上期所
ru2308,橡胶2308,113.ru2308,上期所
pg2308,LPG2308,114.pg2308,大商所
OI311,菜油311,115.OI311,郑商所
hc2310,热卷2310,113.hc2310,上期所
y2307,豆油2307,114.y2307,大商所
hc2304,热卷2304,113.hc2304,上期所
ru2311,橡胶2311,113.ru2311,上期所
ru2303,橡胶2303,113.ru2303,上期所
ru2306,橡胶2306,113.ru2306,上期所
y2311,豆油2311,114.y2311,大商所
bu2304,沥青2304,113.bu2304,上期所
bu2302,沥青2302,113.bu2302,上期所
CYS,棉纱次主力,115.CYS,郑商所
CY309,棉纱309,115.CY309,郑商所
y2308,豆油2308,114.y2308,大商所
y2303,豆油2303,114.y2303,大商所
FG306,玻璃306,115.FG306,郑商所
ru2307,橡胶2307,113.ru2307,上期所
i2302,铁矿石2302,114.i2302,大商所
p2306,棕榈油2306,114.p2306,大商所
lhs,生猪次主力,114.lhs,大商所
lh2305,生猪2305,114.lh2305,大商所
FG310,玻璃310,115.FG310,郑商所
FG311,玻璃311,115.FG311,郑商所
FGS,玻璃次主力,115.FGS,郑商所
FG309,玻璃309,115.FG309,郑商所
OIM,菜油主力,115.OIM,郑商所
OI305,菜油305,115.OI305,郑商所
FG307,玻璃307,115.FG307,郑商所
ym,豆油主力,114.ym,大商所
y2305,豆油2305,114.y2305,大商所
ru2310,橡胶2310,113.ru2310,上期所
rus,橡胶次主力,113.rus,上期所
ru2309,橡胶2309,113.ru2309,上期所
hc2309,热卷2309,113.hc2309,上期所
eb2311,苯乙烯2311,114.eb2311,大商所
OI309,菜油309,115.OI309,郑商所
rb2312,螺纹钢2312,113.rb2312,上期所
p2307,棕榈油2307,114.p2307,大商所
ru2304,橡胶2304,113.ru2304,上期所
p2309,棕榈油2309,114.p2309,大商所
FG308,玻璃308,115.FG308,郑商所
FG304,玻璃304,115.FG304,郑商所
OI307,菜油307,115.OI307,郑商所
FGM,玻璃主力,115.FGM,郑商所
FG305,玻璃305,115.FG305,郑商所
ss2309,不锈钢2309,113.ss2309,上期所
i2312,铁矿石2312,114.i2312,大商所
i2303,铁矿石2303,114.i2303,大商所
SA306,纯碱306,115.SA306,郑商所
pg2310,LPG2310,114.pg2310,大商所
p2308,棕榈油2308,114.p2308,大商所
rum,橡胶主力,113.rum,上期所
ru2305,橡胶2305,113.ru2305,上期所
OIS,菜油次主力,115.OIS,郑商所
OI303,菜油303,115.OI303,郑商所
hc2308,热卷2308,113.hc2308,上期所
pm,棕榈油主力,114.pm,大商所
p2305,棕榈油2305,114.p2305,大商所
hc2311,热卷2311,113.hc2311,上期所
FG303,玻璃303,115.FG303,郑商所
p2312,棕榈油2312,114.p2312,大商所
ps,棕榈油次主力,114.ps,大商所
p2303,棕榈油2303,114.p2303,大商所
im,铁矿石主力,114.im,大商所
i2305,铁矿石2305,114.i2305,大商所
is,铁矿石次主力,114.is,大商所
i2309,铁矿石2309,114.i2309,大商所
ni2310,沪镍2310,113.ni2310,上期所
pg2305,LPG2305,114.pg2305,大商所
pg2309,LPG2309,114.pg2309,大商所
ni2311,沪镍2311,113.ni2311,上期所
p2311,棕榈油2311,114.p2311,大商所
b2312,豆二2312,114.b2312,大商所
pg2304,LPG2304,114.pg2304,大商所
pgs,LPG次主力,114.pgs,大商所
pg2303,LPG2303,114.pg2303,大商所
i2304,铁矿石2304,114.i2304,大商所
p2304,棕榈油2304,114.p2304,大商所
hc2312,热卷2312,113.hc2312,上期所
ni2304,沪镍2304,113.ni2304,上期所
i2311,铁矿石2311,114.i2311,大商所
p2302,棕榈油2302,114.p2302,大商所
i2307,铁矿石2307,114.i2307,大商所
ni2309,沪镍2309,113.ni2309,上期所
ni2308,沪镍2308,113.ni2308,上期所
i2306,铁矿石2306,114.i2306,大商所
ni2312,沪镍2312,113.ni2312,上期所
ni2305,沪镍2305,113.ni2305,上期所
ni2307,沪镍2307,113.ni2307,上期所
ni2306,沪镍2306,113.ni2306,上期所
pg2306,LPG2306,114.pg2306,大商所
i2308,铁矿石2308,114.i2308,大商所
i2310,铁矿石2310,114.i2310,大商所
nis,沪镍次主力,113.nis,上期所
ni2303,沪镍2303,113.ni2303,上期所
pgm,LPG主力,114.pgm,大商所
pg2302,LPG2302,114.pg2302,大商所
nim,沪镍主力,113.nim,上期所
ni2302,沪镍2302,113.ni2302,上期所
